Starting memory monitor at Thu Apr  3 17:46:32 UTC 2025
Elapsed_Time | PID | Name | Heap_Used_MB | Heap_Capacity_MB | RSS_MB
00:03:26 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:03:31 | 1924 | GradleDaemon | 2350.1MB | 3804.0MB | 4904.6MB
00:03:31 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:03:37 | 1924 | GradleDaemon | 2443.8MB | 3804.0MB | 4904.6MB
00:03:37 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:03:42 | 1924 | GradleDaemon | 2918.3MB | 3804.0MB | 4913.1MB
00:03:42 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:03:48 | 1924 | GradleDaemon | 2913.9MB | 3708.0MB | 4930.3MB
00:03:48 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:03:53 | 7108 | KotlinCompileDaemon | 133.0MB | 419.0MB | 544.5MB
00:03:53 | 1924 | GradleDaemon | 1994.7MB | 3641.0MB | 4931.2MB
00:03:53 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:04:00 | 7108 | KotlinCompileDaemon | 284.3MB | 795.0MB | 1024.9MB
00:04:00 | 1924 | GradleDaemon | 2067.1MB | 3641.0MB | 4931.2MB
00:04:00 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:04:07 | 7108 | KotlinCompileDaemon | 670.1MB | 795.0MB | 1154.1MB
00:04:07 | 1924 | GradleDaemon | 2463.2MB | 3641.0MB | 4931.9MB
00:04:07 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:04:14 | 7108 | KotlinCompileDaemon | 681.0MB | 795.0MB | 1154.2MB
00:04:14 | 1924 | GradleDaemon | 2812.0MB | 3641.0MB | 4932.4MB
00:04:14 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:04:20 | 7923 | GradleWorkerMain | 62.8MB | 136.0MB | 198.4MB
00:04:20 | 7108 | KotlinCompileDaemon | 683.0MB | 795.0MB | 1154.2MB
00:04:20 | 1924 | GradleDaemon | 3017.4MB | 3597.0MB | 4960.2MB
00:04:20 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:04:26 | 7923 | GradleWorkerMain | 104.4MB | 356.0MB | 526.3MB
00:04:26 | 7108 | KotlinCompileDaemon | 409.3MB | 941.0MB | 1286.9MB
00:04:26 | 1924 | GradleDaemon | 2315.2MB | 3597.0MB | 4982.8MB
00:04:26 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:04:34 | 7923 | GradleWorkerMain | 280.4MB | 364.0MB | 604.7MB
00:04:34 | 7108 | KotlinCompileDaemon | 373.9MB | 1007.0MB | 1522.0MB
00:04:34 | 1924 | GradleDaemon | 2753.8MB | 3597.0MB | 5024.7MB
00:04:34 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:04:43 | 7923 | GradleWorkerMain | 131.9MB | 356.0MB | 643.6MB
00:04:43 | 7108 | KotlinCompileDaemon | 489.1MB | 1048.0MB | 1823.5MB
00:04:43 | 1924 | GradleDaemon | 2010.8MB | 3548.0MB | 5056.6MB
00:04:43 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:04:50 | 7923 | GradleWorkerMain | 336.7MB | 740.0MB | 891.1MB
00:04:50 | 7108 | KotlinCompileDaemon | 242.5MB | 1320.5MB | 1861.3MB
